"waterTemperature","swimSpeed","mass","storageLevel","meanThermo","sdThermo"
-5,0.94,70,0.68,-395117.861101002,8751.17181718783
-5,0.94,80,0.05,894342.860156079,156302.063978822
-5,0.94,80,0.0525,803292.48946544,147108.710379714
-5,0.94,80,0.055,728017.422374795,137979.027907404
-5,0.94,80,0.06,610225.69657851,125441.737571667
-5,0.94,80,0.08,341706.320915467,92759.0721175925
-5,0.94,80,0.12,29488.3288334667,57265.0774973253
-5,0.94,80,0.2,-195128.208551203,39901.9845524057
-5,0.94,80,0.36,-354093.434150856,20639.1145885842
-5,0.94,80,0.68,-444879.701015918,11593.5110968429
-5,0.94,90,0.05,861504.171867864,158661.770738632
-5,0.94,90,0.0525,777016.642778488,118208.084280053
-5,0.94,90,0.055,712983.613940798,122841.980864749
-5,0.94,90,0.06,624684.003970324,142627.330402288
-5,0.94,90,0.08,309294.241840004,98348.7998095368
-5,0.94,90,0.12,1783.04070578673,57808.8409923763
-5,0.94,90,0.2,-240351.776535558,33974.7837827049
-5,0.94,90,0.36,-401261.14589713,20985.1547280371
-5,0.94,90,0.68,-496364.261974129,10130.3941764344
-5,1.41,10,0.05,915111.955969134,117154.968505692
-5,1.41,10,0.0525,864510.565976442,112459.224121218
-5,1.41,10,0.055,848473.430679659,96233.807291476
-5,1.41,10,0.06,752482.200591146,84780.7619187374
-5,1.41,10,0.08,531602.545737357,75048.1281508572
-5,1.41,10,0.12,319525.246064988,44588.6813185074
-5,1.41,10,0.2,138436.156532537,24171.5930428598
-5,1.41,10,0.36,24076.9090407446,15330.4856362062
-5,1.41,10,0.68,-45710.0411356683,7681.13406939009
-5,1.41,20,0.05,974734.57075834,121049.661364897
-5,1.41,20,0.0525,888565.175012033,116296.389641341
-5,1.41,20,0.055,851446.667449895,96969.3994027166
-5,1.41,20,0.06,770795.638152748,105654.822649633
-5,1.41,20,0.08,518120.85050085,71563.2913019873
-5,1.41,20,0.12,288373.093684639,50473.6097189113
-5,1.41,20,0.2,89239.9415711632,29677.0257373207
-5,1.41,20,0.36,-46392.3837243047,15797.8749660236
-5,1.41,20,0.68,-120502.948241258,8710.79519212379
-5,1.41,30,0.05,957636.92079037,108456.971491258
-5,1.41,30,0.0525,887023.638940551,122177.214792865
-5,1.41,30,0.055,835298.453234623,101145.820528676
-5,1.41,30,0.06,755265.608536415,117580.561449032
-5,1.41,30,0.08,508225.888311627,71470.4655575722
-5,1.41,30,0.12,236187.106947423,45499.0293728456
-5,1.41,30,0.2,33159.847886753,32582.402532045
-5,1.41,30,0.36,-101292.1209993,16848.416933878
-5,1.41,30,0.68,-186424.468989884,10445.3099004997
-5,1.41,40,0.05,937773.862308165,140502.38003944
-5,1.41,40,0.0525,898808.676293269,123988.472673672
-5,1.41,40,0.055,840430.053037514,108436.828113998
-5,1.41,40,0.06,721405.516293386,111911.664200176
-5,1.41,40,0.08,466280.469721437,82157.5715161715
-5,1.41,40,0.12,193732.307201142,59693.6646360769
-5,1.41,40,0.2,-21428.8743771431,29480.2581526686
-5,1.41,40,0.36,-161270.072985198,20490.9673191693
-5,1.41,40,0.68,-247519.251239012,10590.4995287837
-5,1.41,50,0.05,927779.216170936,132323.24146105
-5,1.41,50,0.0525,856623.657082814,127029.641992024
-5,1.41,50,0.055,803219.703894337,118608.985886169
-5,1.41,50,0.06,711102.088332932,113786.014399797
-5,1.41,50,0.08,453501.338942738,73863.0488275552
-5,1.41,50,0.12,153566.200914218,56021.709052803
-5,1.41,50,0.2,-71799.9556547536,35905.0165083984
-5,1.41,50,0.36,-219414.542151306,19631.8680968575
-5,1.41,50,0.68,-306390.815650288,10037.361036728
-5,1.41,60,0.05,909946.408172629,128217.501558796
-5,1.41,60,0.0525,814335.593366994,129369.706512096
-5,1.41,60,0.055,758829.347453868,136877.167475058
-5,1.41,60,0.06,664399.796068144,112420.161792475
-5,1.41,60,0.08,394886.233010051,73511.9463121738
-5,1.41,60,0.12,105511.379789477,52936.5929061147
-5,1.41,60,0.2,-119944.429485806,36396.9855368003
-5,1.41,60,0.36,-269835.580050455,15674.878958377
-5,1.41,60,0.68,-360133.686540077,9357.99857003312
-5,1.41,70,0.05,892393.562944553,130448.166643701
-5,1.41,70,0.0525,804339.385491765,133255.103036452
-5,1.41,70,0.055,746458.89476361,138296.034423305
-5,1.41,70,0.06,637845.614393966,110495.055523983
-5,1.41,70,0.08,367956.979345741,76970.388641949
-5,1.41,70,0.12,63394.3744123131,62344.8767410043
-5,1.41,70,0.2,-169538.564548318,32728.3336980465
-5,1.41,70,0.36,-322886.040262591,18376.3062981235
-5,1.41,70,0.68,-413068.254579141,10945.7200918736
-5,1.41,80,0.05,855649.23279209,152165.172232713
-5,1.41,80,0.0525,770248.659855584,152588.643919757
-5,1.41,80,0.055,716678.56240272,128301.864466864
-5,1.41,80,0.06,607380.254694197,99745.4509731989
-5,1.41,80,0.08,322525.546517966,93615.4294851024
-5,1.41,80,0.12,17248.944086538,57492.7141212014
-5,1.41,80,0.2,-212659.917306901,38471.3061831605
-5,1.41,80,0.36,-368566.907234773,17379.7180393731
-5,1.41,80,0.68,-466155.986679335,11265.8716376554
-5,1.41,90,0.05,821722.388292263,133387.739712903
-5,1.41,90,0.0525,770541.366646336,122547.782312052
-5,1.41,90,0.055,684385.593740364,125105.087607259
